example,n_pattern,n_target,k,density,max_multiplicity,approx_time,exact_time,approx_cost,exact_cost,accuracy_ratio,exact_timed_out
test_016_n5_m14_d50_mult2.txt,5,14,3,0.3,2,0.0031263750279322267,,66,,,True
test_016_n5_m14_d50_mult2.txt,5,14,4,0.3,2,0.003302707918919623,,88,,,True
test_016_n5_m14_d50_mult2.txt,5,14,5,0.3,2,0.002915874938480556,,110,,,True
scale_1002_n4_m15.txt,4,15,1,0.3,2,0.002584999892860651,,8,,,True
scale_1002_n4_m15.txt,4,15,2,0.3,2,0.0024049170315265656,,16,,,True
scale_1002_n4_m15.txt,4,15,3,0.3,2,0.0029839170165359974,,24,,,True
scale_1002_n4_m15.txt,4,15,4,0.3,2,0.002678917022421956,,32,,,True
scale_1002_n4_m15.txt,4,15,5,0.3,2,0.004521791008301079,,40,,,True
test_017_n7_m15_d50_mult2.txt,7,15,1,0.3,2,0.0024682499933987856,,32,,,True
test_017_n7_m15_d50_mult2.txt,7,15,2,0.3,2,0.0025044160429388285,,64,,,True
test_017_n7_m15_d50_mult2.txt,7,15,3,0.3,2,0.002432291046716273,,96,,,True
test_017_n7_m15_d50_mult2.txt,7,15,4,0.3,2,0.00259366596583277,,128,,,True
test_017_n7_m15_d50_mult2.txt,7,15,5,0.3,2,0.003321334021165967,,160,,,True
test_023_n8_m15_d40_mult3.txt,8,15,1,0.3,2,0.002754791988991201,,50,,,True
test_023_n8_m15_d40_mult3.txt,8,15,2,0.3,2,0.0027654169825837016,,100,,,True
test_023_n8_m15_d40_mult3.txt,8,15,3,0.3,2,0.0024658750044181943,,150,,,True
test_023_n8_m15_d40_mult3.txt,8,15,4,0.3,2,0.002530125086195767,,200,,,True
test_023_n8_m15_d40_mult3.txt,8,15,5,0.3,2,0.0027573329862207174,,250,,,True
test_025_n8_m15_d40_mult2.txt,8,15,1,0.3,2,0.003369417041540146,,31,,,True
test_025_n8_m15_d40_mult2.txt,8,15,2,0.3,2,0.0029027919517830014,,62,,,True
test_025_n8_m15_d40_mult2.txt,8,15,3,0.3,2,0.002674999996088445,,93,,,True
test_025_n8_m15_d40_mult2.txt,8,15,4,0.3,2,0.002646332955919206,,124,,,True
test_025_n8_m15_d40_mult2.txt,8,15,5,0.3,2,0.002609916962683201,,155,,,True
test_028_n4_m15_d60_mult3.txt,4,15,1,0.3,2,0.002724874997511506,,18,,,True
test_028_n4_m15_d60_mult3.txt,4,15,2,0.3,2,0.0030470830388367176,,36,,,True
test_028_n4_m15_d60_mult3.txt,4,15,3,0.3,2,0.0025200420059263706,,54,,,True
test_028_n4_m15_d60_mult3.txt,4,15,4,0.3,2,0.0024780420353636146,,72,,,True
